index,match_id,elapsed_time,set_no,p1_games,p2_games,set_victor,game_no,game_victor,point_no,point_victor,PointServer,Speed_KMH,Rally,p1_score,p2_score,P1Momentum,P2Momentum,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,P1FirstSrvIn,P2FirstSrvIn,P1FirstSrvWon,P2FirstSrvWon,P1SecondSrvIn,P2SecondSrvIn,P1SecondSrvWon,P2SecondSrvWon,P1ForcedError,P2ForcedError,History,speed_mph,p1_break_pt_missed,p2_break_pt_missed,server,Serve_Direction,Winner_FH,Winner_BH,ServingTo,P1TurningPoint,P2TurningPoint,serve_no,WinnerType,winner_shot_type,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth
29888,2023-wimbledon-2101,0:00:00,1,0,0,0,1,0,0X,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,,,
29889,2023-wimbledon-2101,0:00:00,1,0,0,0,1,0,0Y,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,0,0,0,0,,,,,,,0,0,0,0,0,0,,,
29890,2023-wimbledon-2101,0:00:00,1,0,0,0,1,0,1,2,1,0,,0,15,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12020,0,0,0,1,,,,,,,1,0,0,18.898,23.793,6,BW,NCTL,D
29891,2023-wimbledon-2101,0:00:32,1,0,0,0,1,0,2,1,1,130,,15,15,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,81,0,0,1,,,,,,,2,0,0,20.842,19.805,5,BW,NCTL,D
29892,2023-wimbledon-2101,0:01:37,1,0,0,0,1,0,3,1,1,160,,30,15,5,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11010,100,0,0,1,,,,,,,1,0,F,16.768,40.316,5,W,NCTL,ND
29893,2023-wimbledon-2101,0:02:18,1,0,0,0,1,0,4,2,1,156,,30,30,3,2,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,97,0,0,1,,,,,,,1,0,0,47.28,50.239,14,C,NCTL,D
29894,2023-wimbledon-2101,0:03:07,1,0,0,0,1,0,5,2,1,128,,30,40,1,3,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,11020,80,0,0,1,,,,,,,2,0,0,10.767,10.784,4,BC,NCTL,D
29895,2023-wimbledon-2101,0:04:06,1,0,0,0,1,0,6,1,1,181,,40,40,2,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,,,,,,,,,,21020,113,0,1,1,,,,,,,1,0,0,11.632,9.092,3,B,NCTL,ND
29896,2023-wimbledon-2101,0:04:34,1,0,0,0,1,0,7,1,1,175,,AD,40,4,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,22030,109,0,0,1,,,,,,,1,0,0,5.792,4.796,1,B,NCTL,D
29897,2023-wimbledon-2101,0:05:00,1,1,0,0,1,1,8,1,1,114,,0,0,8,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21032,71,0,0,2,,,,,,,2,0,0,20.129,19.951,5,BW,NCTL,D
29898,2023-wimbledon-2101,0:06:39,1,1,0,0,2,0,9,1,2,133,,15,0,10,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,83,0,0,2,,,,,,,2,0,0,30.293,29.817,8,C,NCTL,D
29899,2023-wimbledon-2101,0:07:25,1,1,0,0,2,0,10,1,2,164,,30,0,12,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,21030,102,0,0,2,,,,,,,1,0,0,22.671,22.361,6,B,NCTL,ND
29900,2023-wimbledon-2101,0:08:00,1,1,0,0,2,0,11,1,2,138,,40,0,15,1,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,12010,86,0,0,2,,,,,,,2,0,B,17.125,17.415,6,BC,NCTL,ND
29901,2023-wimbledon-2101,0:08:44,1,2,0,0,2,1,12,1,2,130,,0,0,21,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,,,,,,,,,,,22031,81,1,0,1,,,,,,,2,0,0,7.643,8.014,2,W,NCTL,ND
29902,2023-wimbledon-2101,0:09:41,1,2,0,0,3,0,13,1,1,128,,15,0,24,1,10,3,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,11410,80,0,0,1,,,,,,,2,0,F,38.663,42.164,11,BC,NCTL,D
29903,2023-wimbledon-2101,0:10:44,1,2,0,0,3,0,14,1,1,173,,30,0,25,1,11,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,22020,108,0,0,1,,,,,,,1,0,0,21.398,22.854,5,BW,NCTL,ND
